Fish Name,Fish Family,Region,Season,Is Sustainable,Best Month,Worst Month,Number of Fish per m2,Population Number,Fish Consumption Rate (kg/year),Mortality Rate (%),Cause of Threatening,Threatened,Pollution Level,Threat Level Percentage
Comber,Serranidae,East Coast,Summer,No,February,December,4.73,1242,33.63,10.60936607,,Yes,7,100
Comber,Serranidae,East Coast,Summer,No,January,October,2.34,1054,48.19,11.61105857,Habitat Destruction,Yes,7,39.90088267
Sergeant Major,Pomacentridae,East Coast,Spring,No,January,June,3.7,921,4.86,11.02798746,Pollution,Yes,7,100
Plaice,Pleuronectidae,West Coast,Winter,No,July,September,3.11,2317,43.42,6.291337389,Habitat Destruction,No,4,100
Sea Bass,Serranidae,East Coast,Summer,No,March,December,3.53,715,32.91,15.83015479,Climate Change,Yes,10,100
Comber,Serranidae,East Coast,Spring,Yes,November,February,3.2,665,3.94,16.06567852,Climate Change,Yes,8,100
Grayling,Salmonidae,Both Coasts,Fall,Yes,June,August,0.74,2407,23.88,3.53748142,,No,2,100
Halibut,Pleuronectidae,West Coast,Spring,No,November,June,0.92,2203,32.75,2.404311508,Habitat Destruction,No,3,100
Mackerel,Scombridae,West Coast,Spring,No,October,March,4.24,279,24.72,18.88728627,Overfishing,Yes,10,100
Sole,Pleuronectidae,West Coast,Spring,Yes,August,April,4.38,1845,37.7,4.25703255,Overfishing,No,4,90.31931821
Sergeant Major,Pomacentridae,East Coast,Summer,Yes,August,October,4.34,1426,3.29,10.70252926,Habitat Destruction,No,6,100
Char,Salmonidae,Both Coasts,Fall,Yes,May,February,2.72,2238,16.58,5.185606597,Habitat Destruction,No,4,41.88676318
Flounder,Pleuronectidae,West Coast,Fall,Yes,November,May,1.92,225,20.64,19.5286695,Overfishing,Yes,10,70.80245007
Snapper,Lutjanidae,West Coast,Spring,Yes,April,March,0.15,891,28.22,11.46499106,Pollution,Yes,5,100
Halibut,Pleuronectidae,West Coast,Spring,No,May,August,4.41,965,19.96,10.33440892,Habitat Destruction,Yes,5,63.06122591
Kingfish,Scombridae,West Coast,Fall,No,November,May,3.54,1187,24.51,10.79876121,Habitat Destruction,Yes,7,100
Salmon,Salmonidae,Both Coasts,Fall,No,June,February,0.31,863,48.15,10.52932659,Pollution,Yes,7,88.55459598
Flounder,Pleuronectidae,West Coast,Winter,Yes,November,February,0.53,1697,48.17,6.941138952,Pollution,No,3,83.1163716
Kingfish,Scombridae,West Coast,Winter,No,August,September,0.52,214,32.83,19.04762656,Habitat Destruction,Yes,10,100
Comber,Serranidae,East Coast,Winter,Yes,October,July,2.51,622,9.43,14.61370717,Habitat Destruction,Yes,9,100
Kingfish,Scombridae,West Coast,Summer,Yes,April,October,1.48,2776,23.59,6.258084938,Habitat Destruction,No,2,38.99441281
Tuna,Scombridae,West Coast,Fall,No,May,January,1.76,1778,25.88,7.501152717,Pollution,No,2,99.54526051
Mahogany Snapper,Lutjanidae,West Coast,Winter,No,October,September,0.39,2945,25.55,3.673201968,Pollution,No,3,100
Salmon,Salmonidae,Both Coasts,Spring,No,February,September,4.36,365,39.86,17.99162125,Climate Change,Yes,8,100
Grayling,Salmonidae,Both Coasts,Summer,No,December,November,0.18,1208,26.29,9.881878479,Habitat Destruction,No,6,100
Mahogany Snapper,Lutjanidae,West Coast,Winter,No,April,November,2.89,2855,39.43,5.970695491,Habitat Destruction,No,1,100
Mackerel,Scombridae,West Coast,Summer,No,December,July,3.58,1663,3.14,6.231115692,,No,1,100
Grouper,Serranidae,East Coast,Winter,No,September,July,1.58,1169,4.18,8.871599984,Habitat Destruction,No,5,74.46289667
Halibut,Pleuronectidae,West Coast,Winter,No,November,July,3.21,241,26.65,18.28490945,Habitat Destruction,Yes,8,90.85828911
Bonito,Scombridae,West Coast,Winter,Yes,July,January,1.83,2619,45.76,3.933212508,,No,2,100
Jobfish,Lutjanidae,West Coast,Spring,Yes,December,April,3.47,1783,18.4,2.851265242,Pollution,No,1,61.0511123
Sea Bass,Serranidae,East Coast,Spring,Yes,January,May,2.2,824,47.54,11.1489759,Pollution,Yes,7,100
Sole,Pleuronectidae,West Coast,Summer,Yes,June,November,1.86,2609,44.86,6.489070039,Overfishing,No,3,100
Bonito,Scombridae,West Coast,Summer,No,October,November,4.76,2370,17.98,7.504429345,Pollution,No,2,100
Char,Salmonidae,Both Coasts,Winter,No,March,December,0.79,273,8.71,13.74874265,,Yes,10,100
Halibut,Pleuronectidae,West Coast,Summer,Yes,September,December,2.38,115,42.51,17.0661706,Climate Change,Yes,9,100
Halibut,Pleuronectidae,West Coast,Summer,No,October,January,0.57,963,8,9.241548198,Overfishing,No,6,39.45985361
Flounder,Pleuronectidae,West Coast,Spring,No,February,June,2.02,1321,25.56,9.865747208,Climate Change,No,6,100
Clownfish,Pomacentridae,East Coast,Spring,Yes,March,April,0.77,2466,44.92,6.414405388,Climate Change,No,1,69.10000368
Comber,Serranidae,East Coast,Winter,Yes,July,October,4.66,157,6.97,13.10940706,Overfishing,Yes,9,65.97603935
Tuna,Scombridae,West Coast,Summer,Yes,May,April,1.59,562,46.11,15.32031138,Overfishing,Yes,9,100
Kingfish,Scombridae,West Coast,Summer,No,June,April,2.85,856,15.92,8.76190099,Habitat Destruction,Yes,7,100
Sea Bass,Serranidae,East Coast,Summer,No,May,September,1.55,2895,39.87,3.166600628,Pollution,No,4,100
Chromis,Pomacentridae,East Coast,Spring,Yes,March,May,3.62,1437,47.92,9.776907102,Pollution,No,7,64.77170991
Char,Salmonidae,Both Coasts,Winter,Yes,November,July,1.65,1282,38.72,8.059033207,,No,7,100
Anthias,Serranidae,East Coast,Fall,No,July,August,1.05,1125,28.98,9.458585251,Pollution,No,7,100
Kingfish,Scombridae,West Coast,Spring,No,November,July,1.99,1458,48.88,9.797685954,Overfishing,No,5,100
Grayling,Salmonidae,Both Coasts,Spring,Yes,March,December,4.84,256,8.72,19.85827444,Pollution,Yes,9,100
Emperor,Lutjanidae,West Coast,Summer,No,November,May,2.14,2316,43.21,4.351228227,Habitat Destruction,No,3,100
Tuna,Scombridae,West Coast,Fall,Yes,February,May,4.12,2269,18.65,4.28094396,Overfishing,No,1,100
Mahogany Snapper,Lutjanidae,West Coast,Spring,Yes,April,August,0.92,1161,34.11,9.155125649,Pollution,No,5,100
Char,Salmonidae,Both Coasts,Summer,No,August,October,0.21,2877,19.43,3.778621357,Pollution,No,4,64.07313982
Halibut,Pleuronectidae,West Coast,Summer,No,October,September,3.19,407,18.61,19.56659187,,Yes,8,100
Mackerel,Scombridae,West Coast,Fall,No,December,February,0.83,1700,22.72,6.132450193,Climate Change,No,1,100
Mahogany Snapper,Lutjanidae,West Coast,Summer,Yes,May,October,1.22,2788,10.73,4.899425927,Habitat Destruction,No,4,100
Clownfish,Pomacentridae,East Coast,Spring,Yes,March,September,0.14,2801,41.15,6.644734324,Habitat Destruction,No,1,76.77833457
Trout,Salmonidae,Both Coasts,Winter,Yes,March,November,2.19,2259,7.11,7.349860102,Habitat Destruction,No,4,100
Damselfish,Pomacentridae,East Coast,Summer,Yes,June,October,3.99,2729,30.24,3.119659031,Pollution,No,4,100
Halibut,Pleuronectidae,West Coast,Fall,Yes,July,March,3.31,803,43.9,8.675567531,Pollution,Yes,6,41.6642087
Grouper,Serranidae,East Coast,Summer,No,August,November,4.75,2904,18.27,7.148137534,Overfishing,No,3,100
Trout,Salmonidae,Both Coasts,Fall,Yes,November,October,2.96,154,42.57,16.67480574,Habitat Destruction,Yes,10,100
Kingfish,Scombridae,West Coast,Fall,No,April,July,2.31,1253,19.76,9.222060218,Pollution,No,7,100
Snapper,Lutjanidae,West Coast,Fall,Yes,April,August,2.5,2601,10.35,7.594909896,,No,4,100
Trout,Salmonidae,Both Coasts,Spring,Yes,February,May,4.97,1701,10.69,6.311933317,Overfishing,No,1,51.54034283
Salmon,Salmonidae,Both Coasts,Summer,Yes,May,December,4.01,834,25.3,9.084852771,,Yes,6,98.35078554
Char,Salmonidae,Both Coasts,Spring,Yes,April,March,4.24,1502,1.77,3.669152029,,No,3,84.51195172
Damselfish,Pomacentridae,East Coast,Winter,No,May,September,1.22,1566,46.55,4.504075854,Pollution,No,4,100
Mahogany Snapper,Lutjanidae,West Coast,Spring,No,April,July,3.2,2131,48.39,2.727937703,,No,2,100
Grayling,Salmonidae,Both Coasts,Winter,No,October,June,4.37,767,7.44,19.83574392,Climate Change,Yes,9,100
Anthias,Serranidae,East Coast,Winter,No,May,February,1.9,1300,23.18,8.541323504,Habitat Destruction,No,6,43.43767023
Jobfish,Lutjanidae,West Coast,Winter,Yes,August,February,1.37,804,13.28,11.17002048,Overfishing,Yes,5,100
Clownfish,Pomacentridae,East Coast,Fall,Yes,April,August,3.09,473,48.78,16.13421846,Climate Change,Yes,9,86.3399923
Salmon,Salmonidae,Both Coasts,Fall,No,September,January,2.63,613,24.78,17.66229746,Overfishing,Yes,10,100
Mahogany Snapper,Lutjanidae,West Coast,Winter,No,December,June,1.47,2377,23.85,7.276530089,Habitat Destruction,No,2,100
Damselfish,Pomacentridae,East Coast,Fall,No,August,January,2.82,2502,8.49,4.137133002,Overfishing,No,3,100
Trout,Salmonidae,Both Coasts,Winter,No,February,May,2.43,437,8.2,17.04044671,Overfishing,Yes,9,100
Trout,Salmonidae,Both Coasts,Spring,Yes,June,July,2.71,2049,33.42,5.328135825,Climate Change,No,1,100
Damselfish,Pomacentridae,East Coast,Spring,No,January,February,1.64,1446,6,9.583804106,,No,5,100
Sole,Pleuronectidae,West Coast,Fall,No,August,September,1.09,778,47.39,15.48610849,Habitat Destruction,Yes,10,31.12626415
Salmon,Salmonidae,Both Coasts,Spring,Yes,November,March,1.68,277,38.82,18.34416064,Habitat Destruction,Yes,9,100
Jobfish,Lutjanidae,West Coast,Summer,No,June,August,0.5,1741,49.5,7.990011383,Overfishing,No,4,100
Salmon,Salmonidae,Both Coasts,Spring,Yes,November,April,4.64,2576,4.31,3.170404478,,No,1,51.57007284
Mackerel,Scombridae,West Coast,Fall,Yes,January,June,3.93,684,37.08,18.03024204,Pollution,Yes,9,69.8249589
Sergeant Major,Pomacentridae,East Coast,Spring,Yes,February,December,0.94,1609,20.84,5.348812318,Habitat Destruction,No,4,69.2636078
Bonito,Scombridae,West Coast,Winter,No,August,September,0.63,2987,16.82,7.013576782,Overfishing,No,3,100
Damselfish,Pomacentridae,East Coast,Spring,Yes,February,October,2.34,1451,18.04,9.099774526,Pollution,No,5,100
Salmon,Salmonidae,Both Coasts,Fall,Yes,January,September,2.5,2448,40.76,4.267265193,Habitat Destruction,No,1,100
Jobfish,Lutjanidae,West Coast,Winter,No,April,August,0.85,2322,19.17,7.021270234,Overfishing,No,1,100
Trout,Salmonidae,Both Coasts,Spring,No,January,November,1.69,2503,20.23,6.563425201,Habitat Destruction,No,2,100
Grouper,Serranidae,East Coast,Spring,No,December,April,0.32,516,41.74,15.71547973,Habitat Destruction,Yes,10,77.2812173
Salmon,Salmonidae,Both Coasts,Spring,Yes,August,December,0.3,1376,36.23,9.159169528,Overfishing,No,6,100
Mahogany Snapper,Lutjanidae,West Coast,Summer,Yes,May,August,4.16,2587,17.63,3.899869968,,No,4,100
Bonito,Scombridae,West Coast,Spring,Yes,April,January,4.18,2698,1.92,6.432311504,Habitat Destruction,No,1,100
Trout,Salmonidae,Both Coasts,Spring,No,November,January,4.44,1603,38.77,6.65024924,Habitat Destruction,No,3,100
Bonito,Scombridae,West Coast,Fall,No,March,April,2.79,1138,45.47,10.89504895,Overfishing,Yes,6,100
Snapper,Lutjanidae,West Coast,Winter,No,November,April,2.99,2614,41.37,3.846308475,Pollution,No,3,100
Plaice,Pleuronectidae,West Coast,Summer,No,September,February,1.41,1283,18.4,10.53300033,Habitat Destruction,No,6,23.17822687
Clownfish,Pomacentridae,East Coast,Spring,Yes,February,January,1.82,1794,26.57,4.817565408,,No,4,55.6641063
Sole,Pleuronectidae,West Coast,Spring,No,August,May,0.47,919,19.11,11.36977317,Climate Change,Yes,5,100
Sole,Pleuronectidae,West Coast,Spring,No,April,March,4.93,1741,38.68,5.397337518,,No,2,100
Halibut,Pleuronectidae,West Coast,Spring,Yes,August,March,1.45,1722,25.86,5.655944462,Climate Change,No,4,62.76783938
Bonito,Scombridae,West Coast,Spring,No,November,May,0.54,694,17.96,18.28128847,Pollution,Yes,8,100
Salmon,Salmonidae,Both Coasts,Summer,No,January,November,3.52,262,9.61,15.88892324,Climate Change,Yes,8,100
Anthias,Serranidae,East Coast,Winter,No,June,October,1.14,582,14.53,17.69125009,Climate Change,Yes,10,100
Sergeant Major,Pomacentridae,East Coast,Summer,Yes,May,April,2.38,2583,4.14,6.335808088,Overfishing,No,1,100
Plaice,Pleuronectidae,West Coast,Fall,Yes,May,February,3.05,653,38.73,16.20419441,Habitat Destruction,Yes,9,100
Mackerel,Scombridae,West Coast,Spring,Yes,January,April,0.84,897,24.65,11.618757,Habitat Destruction,Yes,7,100
Grayling,Salmonidae,Both Coasts,Summer,No,May,February,3.21,2572,34.11,6.755080046,Habitat Destruction,No,4,100
Tuna,Scombridae,West Coast,Summer,Yes,July,March,4.31,1126,18.47,8.254986912,Pollution,No,5,57.49385007
Chromis,Pomacentridae,East Coast,Fall,Yes,April,November,0.55,616,1.26,16.64295009,Climate Change,Yes,8,100
Grayling,Salmonidae,Both Coasts,Fall,Yes,June,February,3.18,2728,7.07,5.705614899,Pollution,No,1,100
Chromis,Pomacentridae,East Coast,Spring,No,November,February,3.81,1083,28.05,9.081843828,Climate Change,No,5,100
Comber,Serranidae,East Coast,Winter,No,February,May,0.58,142,29.94,19.20343535,,Yes,10,100
Snapper,Lutjanidae,West Coast,Fall,No,May,December,4.5,2280,23.68,2.140567697,,No,2,50.24387879
Grayling,Salmonidae,Both Coasts,Summer,No,November,August,2.47,1464,31.5,10.65704896,Climate Change,Yes,6,100
Grouper,Serranidae,East Coast,Winter,No,December,June,2.52,2723,8.34,5.352602115,,No,1,100
Chromis,Pomacentridae,East Coast,Winter,No,June,January,1.02,442,44.57,13.91726926,,Yes,9,58.68402804
Kingfish,Scombridae,West Coast,Winter,Yes,August,December,1.43,2506,45.67,3.822167871,Overfishing,No,1,100
Snapper,Lutjanidae,West Coast,Summer,Yes,March,November,3.84,617,10.16,15.94872824,Overfishing,Yes,10,100
Comber,Serranidae,East Coast,Summer,Yes,July,November,3.79,425,33.33,17.49029824,Overfishing,Yes,8,100
Flounder,Pleuronectidae,West Coast,Spring,No,May,August,4.1,1013,19.2,10.7302794,Climate Change,Yes,6,88.58123155
Kingfish,Scombridae,West Coast,Spring,No,September,February,2.34,373,22.05,15.73723518,Climate Change,Yes,9,53.70743237
Mahogany Snapper,Lutjanidae,West Coast,Spring,Yes,March,July,2.16,1877,49.66,3.246788199,Pollution,No,2,100
Trout,Salmonidae,Both Coasts,Fall,Yes,March,November,4.37,2092,27.87,3.460431136,Overfishing,No,1,30.01601407
Grayling,Salmonidae,Both Coasts,Fall,No,November,October,0.82,833,16.28,8.467887487,,No,5,100
Kingfish,Scombridae,West Coast,Winter,Yes,June,July,0.1,636,41.19,13.31692572,Climate Change,Yes,10,100
Char,Salmonidae,Both Coasts,Summer,No,November,June,0.74,1677,48.02,5.595362916,Habitat Destruction,No,1,77.51144966
Sole,Pleuronectidae,West Coast,Summer,Yes,June,September,2.14,357,23.67,18.13126732,Pollution,Yes,10,50.32298401
Plaice,Pleuronectidae,West Coast,Spring,Yes,January,December,0.51,620,6.86,12.92489888,Overfishing,Yes,8,39.12373107
Grayling,Salmonidae,Both Coasts,Fall,Yes,January,November,0.48,1392,5.88,11.10525497,,No,5,100
Snapper,Lutjanidae,West Coast,Spring,Yes,February,June,1.96,1201,29.9,8.73874632,Habitat Destruction,No,5,100
Grayling,Salmonidae,Both Coasts,Spring,No,July,December,2.86,1429,34.24,11.45179166,Overfishing,Yes,7,100
Damselfish,Pomacentridae,East Coast,Spring,No,July,February,3.09,339,21.95,18.62577109,Climate Change,Yes,9,100
Snapper,Lutjanidae,West Coast,Summer,Yes,November,January,3.23,1588,27.56,5.254042168,Pollution,No,3,100
Sergeant Major,Pomacentridae,East Coast,Summer,Yes,November,September,1.88,743,6.03,13.11882156,,Yes,8,35.12245823
Anthias,Serranidae,East Coast,Spring,No,October,December,0.51,1944,48.24,5.978934847,Pollution,No,3,100
Salmon,Salmonidae,Both Coasts,Spring,Yes,February,June,2.21,416,44.28,13.97763247,Habitat Destruction,Yes,10,100
Damselfish,Pomacentridae,East Coast,Winter,No,July,November,0.43,1909,19.74,5.951674904,,No,1,83.09234694
Emperor,Lutjanidae,West Coast,Spring,Yes,December,June,1.07,1016,37.17,10.49446069,Pollution,Yes,5,100
Trout,Salmonidae,Both Coasts,Summer,Yes,May,September,3.76,2335,10.65,4.738847075,Pollution,No,2,100
Emperor,Lutjanidae,West Coast,Summer,Yes,September,November,1.73,2544,6.55,7.06455035,,No,1,100
Bonito,Scombridae,West Coast,Fall,No,January,September,2.55,1017,46.39,11.10636341,Overfishing,Yes,5,100
Sergeant Major,Pomacentridae,East Coast,Summer,Yes,December,September,2.06,434,38.31,18.08542443,,Yes,10,69.45052546
Sea Bass,Serranidae,East Coast,Summer,No,November,October,4.9,1077,32.83,9.262808726,Overfishing,No,5,100
Grouper,Serranidae,East Coast,Summer,Yes,September,March,0.41,858,5.87,8.184430947,Pollution,No,6,40.2215023
Salmon,Salmonidae,Both Coasts,Winter,Yes,July,October,3.64,2632,31.8,4.316461979,Climate Change,No,4,100
Salmon,Salmonidae,Both Coasts,Spring,No,May,April,4.46,2782,9.42,3.000465063,,No,2,20.06300276
Sea Bass,Serranidae,East Coast,Spring,Yes,November,March,0.87,2678,3.4,5.206408584,,No,1,63.20214953
Snapper,Lutjanidae,West Coast,Winter,No,January,April,3.19,1275,10.65,9.201889961,Overfishing,No,7,70.95078677
Trout,Salmonidae,Both Coasts,Summer,No,April,November,0.48,299,7.09,13.87315165,Climate Change,Yes,9,100
Sergeant Major,Pomacentridae,East Coast,Winter,Yes,August,February,4.83,2790,12.08,5.632023414,Overfishing,No,3,61.18734343
Mackerel,Scombridae,West Coast,Fall,Yes,January,September,1.89,2049,7.49,3.696298377,,No,4,57.20763983
Clownfish,Pomacentridae,East Coast,Winter,Yes,May,October,4.22,1161,28.74,9.428392686,Pollution,No,7,100
Trout,Salmonidae,Both Coasts,Fall,Yes,March,October,0.42,2684,48.19,7.093831153,Climate Change,No,2,100
Jobfish,Lutjanidae,West Coast,Summer,No,November,July,4.11,1136,49.42,8.603208405,Pollution,No,7,87.69085078
Salmon,Salmonidae,Both Coasts,Fall,No,December,May,0.55,2025,5.06,4.580392381,Pollution,No,4,100
Bonito,Scombridae,West Coast,Spring,No,June,April,0.64,1310,14.84,10.47631218,Climate Change,Yes,7,100
Anthias,Serranidae,East Coast,Summer,No,July,September,0.76,138,30.22,17.3952292,Habitat Destruction,Yes,8,100
Plaice,Pleuronectidae,West Coast,Spring,Yes,January,March,1.87,2483,39.25,6.843749883,Overfishing,No,4,62.6839554
Snapper,Lutjanidae,West Coast,Fall,Yes,November,December,4.42,2170,47.93,6.19164192,Climate Change,No,3,71.61371717
Kingfish,Scombridae,West Coast,Fall,No,October,January,3.21,1392,6.5,9.83897069,Pollution,No,7,61.10998807
Flounder,Pleuronectidae,West Coast,Winter,No,March,February,3.9,1134,45.96,9.636658783,Overfishing,No,7,100
Trout,Salmonidae,Both Coasts,Spring,Yes,March,October,2.51,2513,42.62,7.895754081,Habitat Destruction,No,3,100
Salmon,Salmonidae,Both Coasts,Fall,No,February,June,4.15,1178,24.91,9.076858574,Climate Change,No,6,100
Grouper,Serranidae,East Coast,Winter,No,August,October,4.47,494,38.2,19.6792505,Climate Change,Yes,9,69.72253794
Trout,Salmonidae,Both Coasts,Summer,Yes,January,August,4.25,565,40.72,16.09508719,Climate Change,Yes,10,100
Chromis,Pomacentridae,East Coast,Summer,No,October,August,0.41,1024,38.37,11.34602673,Pollution,Yes,7,100
Sergeant Major,Pomacentridae,East Coast,Fall,Yes,April,December,4.33,1652,48.69,2.637010147,Overfishing,No,1,100
Kingfish,Scombridae,West Coast,Fall,Yes,April,December,0.29,345,47.24,17.58753117,Pollution,Yes,10,100
Mackerel,Scombridae,West Coast,Fall,No,October,August,4.52,911,2.54,10.53685855,Overfishing,Yes,7,100
Sergeant Major,Pomacentridae,East Coast,Fall,Yes,November,October,1.1,933,47.01,10.06555833,Climate Change,Yes,7,90.15927774
Sea Bass,Serranidae,East Coast,Winter,No,September,December,2.47,2468,44.88,4.690896284,Pollution,No,1,100
Chromis,Pomacentridae,East Coast,Summer,Yes,March,May,0.75,2141,32.1,6.273840588,Habitat Destruction,No,4,100
Plaice,Pleuronectidae,West Coast,Summer,Yes,May,September,2.45,1001,36.5,11.60451632,Pollution,Yes,5,100
Grouper,Serranidae,East Coast,Fall,No,October,January,0.49,545,42.39,17.699323,Pollution,Yes,8,100
Halibut,Pleuronectidae,West Coast,Fall,No,November,February,1.47,1060,11.12,9.649204824,,No,6,100
Salmon,Salmonidae,Both Coasts,Fall,No,April,December,0.63,845,25.37,8.800699473,Climate Change,Yes,7,34.96738224
Halibut,Pleuronectidae,West Coast,Winter,No,June,October,3.58,483,45.93,12.63287859,Climate Change,Yes,8,61.82311849
Mahogany Snapper,Lutjanidae,West Coast,Winter,No,June,March,0.49,277,20.37,14.04538255,Overfishing,Yes,10,100
Comber,Serranidae,East Coast,Summer,Yes,September,August,2.39,1738,24.94,5.305167473,Pollution,No,4,52.46182169
Clownfish,Pomacentridae,East Coast,Fall,Yes,November,June,3.95,2766,31.98,2.25208324,Pollution,No,2,87.20084743
Kingfish,Scombridae,West Coast,Fall,Yes,February,June,2.91,1171,20.95,9.667788601,,No,6,100
Snapper,Lutjanidae,West Coast,Summer,Yes,November,June,3.35,2464,7.53,7.081550444,Habitat Destruction,No,1,100
Mackerel,Scombridae,West Coast,Fall,No,August,November,0.78,951,10.51,8.320949681,Overfishing,No,6,100
Plaice,Pleuronectidae,West Coast,Fall,No,January,November,4.8,1826,1.9,2.450798655,Overfishing,No,1,100
Sergeant Major,Pomacentridae,East Coast,Fall,No,December,October,4,1623,14.29,5.068746725,Habitat Destruction,No,3,100
Tuna,Scombridae,West Coast,Winter,Yes,September,December,2.71,2407,44.97,7.66559315,Habitat Destruction,No,1,100
Clownfish,Pomacentridae,East Coast,Spring,Yes,June,April,3.99,253,38.13,15.15614989,,Yes,9,100
Mahogany Snapper,Lutjanidae,West Coast,Spring,Yes,August,March,0.96,613,5.35,17.4702072,Habitat Destruction,Yes,9,100
Grayling,Salmonidae,Both Coasts,Winter,No,September,March,0.96,636,18.46,14.39399537,Climate Change,Yes,8,100
Grouper,Serranidae,East Coast,Fall,No,December,October,4.37,1601,23.77,6.151732612,Climate Change,No,3,100
Char,Salmonidae,Both Coasts,Fall,Yes,October,January,3.13,2086,2.85,2.65738587,Habitat Destruction,No,1,100
Comber,Serranidae,East Coast,Winter,No,April,October,4.78,404,45.5,12.45385864,Habitat Destruction,Yes,8,100
Sea Bass,Serranidae,East Coast,Winter,No,December,January,4.38,1224,8.79,11.25955853,Pollution,No,5,100
Kingfish,Scombridae,West Coast,Spring,No,February,March,3.29,1025,34.49,8.168698914,Climate Change,No,7,100
Flounder,Pleuronectidae,West Coast,Spring,No,February,April,3.93,865,44.04,11.58578239,Pollution,Yes,5,42.25459286
Tuna,Scombridae,West Coast,Summer,Yes,January,October,0.72,373,16.35,16.18600499,,Yes,10,100
Plaice,Pleuronectidae,West Coast,Spring,Yes,October,May,1.97,826,24.91,8.073567355,Pollution,No,6,55.25516086
Flounder,Pleuronectidae,West Coast,Winter,Yes,July,September,0.11,876,13.81,8.501324027,Habitat Destruction,No,6,100
Char,Salmonidae,Both Coasts,Fall,No,December,January,3.97,1262,22.13,11.11750854,Habitat Destruction,Yes,7,58.36265061
Grouper,Serranidae,East Coast,Spring,No,February,June,4.66,1127,27.34,8.662705737,,No,7,100
Mackerel,Scombridae,West Coast,Winter,No,March,July,0.91,1613,13.17,6.75144061,Habitat Destruction,No,1,100
Damselfish,Pomacentridae,East Coast,Fall,No,July,November,2.68,1009,11.12,11.83292777,Habitat Destruction,Yes,7,63.32489417
Mackerel,Scombridae,West Coast,Spring,No,June,March,2.5,2360,36.6,4.357139784,Habitat Destruction,No,3,82.26033582
Halibut,Pleuronectidae,West Coast,Fall,No,May,January,2.2,1132,36.88,11.19097972,Habitat Destruction,Yes,6,100
Mackerel,Scombridae,West Coast,Fall,No,March,September,3.83,308,1.89,16.28414185,Climate Change,Yes,10,71.32876481
Mahogany Snapper,Lutjanidae,West Coast,Summer,Yes,December,February,0.54,1678,46.86,7.463181957,Pollution,No,2,100
